,Entities,Labels,Position_Start,Position_End
3747,clotting abnormality,DISEASE,7082,7102
3748,decrease disintegrinlike metalloprotease thromboplastin type motif adamts activity,DISEASE,7330,7412
3752,platelet hyperfunction,DISEASE,8309,8331
3755,macrothrombosis microthrombosis,DISEASE,8659,8690
3757,arterial venous thrombosis,DISEASE,8786,8812
3762,arteriovenous system thrombus,DISEASE,9344,9373
3763,overwhelming sarscov lung ace,DISEASE,9445,9474
3766,pulmonary intravascular coagulation,DISEASE,9954,9989
3768,coagulation abnormality,DISEASE,10064,10087
3769,covid microthrombosis,DISEASE,10088,10109
3770,platelet coagulation,DISEASE,10126,10146
3771,endotheliitis,DISEASE,10197,10210
3772,drug microthrombosis,DISEASE,10247,10267
3774,ischemic organ damage,DISEASE,10748,10769
3784,aortic aneurysm,DISEASE,12265,12280
3785,malformation common disease,DISEASE,12290,12317
3786,acute promyelocytic leukemia,DISEASE,12387,12415
3788,cerebral hemorrhage,DISEASE,12630,12649
3790,hemorrhage death,DISEASE,12774,12790
3791,hemorrhage thrombosis,DISEASE,12856,12877
3794,embolic event,DISEASE,13083,13096
3807,presence microthrombosis,DISEASE,14429,14453
3815,willebrand syndrome,DISEASE,15443,15462
3824,renal failure increase blood level thrombomodulin regardless vascular endothelial damage,DISEASE,16130,16218
3828,covid aggravation aging coronary artery disease diabetes,DISEASE,16828,16884
3836,covid,DISEASE,17382,17387
3838,coagulation,DISEASE,17830,17841
3840,antitransmembrane,DISEASE,18248,18265
3842,hyperkalemia,DISEASE,18839,18851
3843,neartotal absence bleeding,DISEASE,18868,18894
3846,thrombosis hypercoagulable,DISEASE,19221,19247
3848,increase doac blood level mean fold fold reported administration rivaloxaban,DISEASE,19483,19559
3853,acute respiratory distress syndrome,DISEASE,20321,20356
3858,elevated ddimer pulmonary thromboembolism,DISEASE,20653,20694
3873,hemorrhagic disease,DISEASE,21596,21615
3874,hemorrhagic thrombotic disease,DISEASE,21631,21661
3876,hemophilia,DISEASE,22056,22066
3877,willebrand disease,DISEASE,22126,22144
3878,chronic dic eg case aortic,DISEASE,22266,22292
3879,aneurysm,DISEASE,22293,22301
3882,postsplenectomy,DISEASE,22692,22707
3883,hemoglobinuria,DISEASE,23435,23449
3884,hemolytic uremic syndrome,DISEASE,23463,23488
3885,primary disease,DISEASE,23670,23685
3887,thrombosis thrombocytopenia,DISEASE,24132,24159
3889,cerebral venous sinus visceral vein eg portal vein thrombosis thrombocytopenia,DISEASE,24351,24429
3890,thrombocytopenia thrombosis thrombocytopenia syndrome,DISEASE,24531,24584
3891,adverse effect sarscov vaccine including adenovirus vector type mrna type described disease,DISEASE,24813,24904
3893,hematuria,DISEASE,24970,24979
3894,hemorrhage subarachnoid hemorrhage,DISEASE,25000,25034
3895,thrombocytopenia evans syndrome,DISEASE,25042,25073
3901,thrombotic disease,DISEASE,25460,25478
3902,carotid artery thrombosis aortic thrombotic,DISEASE,25496,25539
3903,thrombosis myocardial infarction,DISEASE,25563,25595
3908,thrombophilia,DISEASE,25869,25882
3909,thrombotic thrombocytopenic purpura,DISEASE,25928,25963
3910,cardiovascular hematological event sarscov vaccination abnormality,DISEASE,26059,26125
3912,cardiac injury,DISEASE,26312,26326
3914,cerebral venous sinus visceral vein thrombosis common site,DISEASE,26684,26742
3916,platelet count coagulation abnormality,DISEASE,26781,26819
3920,cerebral venous sinus thrombosis,DISEASE,28425,28457
3932,fapic,DISEASE,30795,30800
3934,intracerebral hemorrhage,DISEASE,30879,30903
3935,cerebral venous sinus thrombosis fibrinogen mgdl age year,DISEASE,30913,30970
3936,intracerebral hemorrhage cerebral venous sinus thrombosis,DISEASE,30983,31040
3964,enhancedfibrinolytictype dic increase fdp prominent increase ddimer discrepancy fdp ddimer antithrombin coagulation inhibitor decrease,DISEASE,34371,34505
3965,thrombotic thrombocytopenia,DISEASE,34629,34656
3976,coagulopathies,DISEASE,36127,36141
3981,morning dyspnea,DISEASE,508,523
3982,copd suffer deventilation syndrome,DISEASE,657,691
3984,hyperinflation,DISEASE,830,844
3985,muscle fatigue,DISEASE,942,956
3987,february deventilation syndrome,DISEASE,1613,1644
3989,copd pneumothorax,DISEASE,2315,2332
3992,deventilation syndrome,DISEASE,3112,3134
3994,ventilatory insufficiency hypercapnic respiratory failure copd highintensity niv plbv demographic data,DISEASE,3346,3448
3995,copd stage,DISEASE,3449,3459
4002,dyspnea muscle joint pain,DISEASE,4460,4485
4007,panic,DISEASE,6553,6558
4013,respiratory complaint physical functioning table immediately mask removal patient reported,DISEASE,7650,7740
4025,hyperinflation increase,DISEASE,9683,9706
4027,muscle weakness,DISEASE,9897,9912
4031,hyperinflation copd,DISEASE,10397,10416
4034,dyspnea deventilation syndrome,DISEASE,11594,11624
4040,acute increase respiratory workload niv therapy effectively reduce co despite deventilation syndrome,DISEASE,12728,12828
4041,deventilation syndrome deventilation syndrome,DISEASE,13146,13191
4042,ventilatory failure,DISEASE,13408,13427
4043,deventilation syndrome copd,DISEASE,13594,13621
4048,effect deventilation syndrome,DISEASE,14229,14258
4050,obesity diabetes hypertension,DISEASE,228,257
4053,myocardial inflammation,DISEASE,492,515
4056,endothelial dysfunction myocardial fibrosis,DISEASE,751,794
4057,hypoxaemia,DISEASE,1062,1072
4058,thrombosis cardiovascular disease,DISEASE,1122,1155
4059,covid myocardial infarction,DISEASE,1287,1314
4063,oslo,DISEASE,2159,2163
4071,fever cough dyspnoea,DISEASE,5970,5990
4072,diabetes mellitus hypertension chronic kidney disease,DISEASE,6227,6280
4074,viraemia,DISEASE,6543,6551
4083,status disease,DISEASE,8677,8691
4089,endothelial dysfunction thromboembolism,DISEASE,9338,9377
4090,myocardial injury stress inflammation thrombosis,DISEASE,9721,9769
4091,overfitted,DISEASE,10862,10872
4096,acute respiratory syndrome coronavirus sarscov emerged wuhan china new worldwide public health concern bangladesh covid reported march covid case,DISEASE,45,190
4099,upper respiratory tract infection,DISEASE,264,297
4101,metabolic syndrome,DISEASE,809,827
4103,nose day illness,DISEASE,973,989
4104,covid anosmia loss taste generalized,DISEASE,1105,1141
4108,tearing,DISEASE,1224,1231
4110,illness day illness nasopharyngeal swab np specimen tested positive sarscov rna underwent strict home isolation continued sarscov rna test result negative routine physical examination revealed parameter normal limit slightly increased systolic blood pressure mmhg obesity,DISEASE,1321,1592
4111,dyslipidemia fatty change liver ultrasonography hepatobiliary system occasional lipidlowering drug parameter normal limit table symptom,DISEASE,1652,1787
4121,status dyslipidemia,DISEASE,2701,2720
4122,fatty infiltration,DISEASE,2730,2748
4126,hodgkin lymphoma peripheral tcell lymphoma,DISEASE,3624,3666
4128,metabolic syndrome diabetes mellitus,DISEASE,4401,4437
4129,hypertension dyslipidemia fatty change liver earlier,DISEASE,4441,4493
4133,nonalcoholic fatty liver disease,DISEASE,4736,4768
4144,covid burn injury,DISEASE,142,159
4148,abuse injury,DISEASE,331,343
4149,allterrain,DISEASE,476,486
4150,injury p fewer injury,DISEASE,565,586
4151,interpersonal violence assault nat selfharm,DISEASE,661,704
4153,burn injury,DISEASE,890,901
4174,traumatic injury,DISEASE,3140,3156
4176,decreased blunt injury,DISEASE,3265,3287
4177,childcareobservation,DISEASE,3424,3444
4187,abuse neglect interpersonal violence,DISEASE,5054,5090
4192,increase domestic abuse family violence country enforced social distancing regulation enforcing social distancing,DISEASE,5568,5681
4193,learning increase,DISEASE,5790,5807
4196,traumatic,DISEASE,6812,6821
4203,covid rheumatic disease,DISEASE,322,345
4209,systemic lupus erythematosus disease,DISEASE,1283,1319
4210,juvenile arthritis disease,DISEASE,1344,1370
4214,hypertension n obesity n inflammatory bowel disease,DISEASE,2478,2529
4216,hypothyroidism n endstage renal disease,DISEASE,2587,2626
4217,hypertension chronic kidney disease,DISEASE,2664,2699
4218,ventricular hypertrophy chronic diarrhea cholestasis adrenal insufficiency hyperparathyroidism thyroid disease,DISEASE,2733,2843
4219,neutropenia sickle cell disease,DISEASE,2852,2883
4222,tumor smoking diabetes,DISEASE,2941,2963
4224,ventricular hypertrophy hypertension,DISEASE,3017,3053
4225,juvenile idiopathic arthritis,DISEASE,3165,3194
4226,systemic lupus erythematosus sle,DISEASE,3199,3231
4227,juvenile dermatomyositis,DISEASE,3232,3256
4228,primary rheumatic diagnosis,DISEASE,3268,3295
4230,idiopathic uveitis n behcets disease,DISEASE,3359,3395
4231,sarcoidosis,DISEASE,3417,3428
4233,takayasus arteritis,DISEASE,3477,3496
4236,rheumatic comorbidity,DISEASE,3623,3644
4237,rheumatoid arthritis n jia sjogrens syndrome n ancaassociated,DISEASE,3694,3755
4244,chest pain rash myalgia,DISEASE,4311,4334
4246,biologic disease,DISEASE,5013,5029
4247,drug cdmards,DISEASE,5054,5066
4255,p disease,DISEASE,5754,5763
4256,gastrointestinal symptom fever organ involvement behcets disease,DISEASE,5834,5898
4260,possibility multisystem inflammatory syndrome,DISEASE,6328,6373
4261,cardiac involvement gastrointestinal symptom explained presence coinfection,DISEASE,6438,6513
4265,respiratory gastrointestinal symptom,DISEASE,7599,7635
4266,acute infection fever rash myalgia,DISEASE,7659,7693
4268,chest pain myalgia rash dyspnea,DISEASE,7732,7763
4271,possibility disease,DISEASE,8125,8144
4293,fever dyspnea,DISEASE,10927,10940
4304,death dementia,DISEASE,3587,3601
4307,cfr,DISEASE,4441,4444
4309,httpsdoiorg learning disability,DISEASE,6962,6993
4313,venous stenosis,DISEASE,1821,1836
4314,vein thrombosis chronic venous stasis,DISEASE,1842,1879
4316,osteoarthritis rheumatoid arthritis liver disease,DISEASE,1915,1964
4317,hypertension cirrhosis,DISEASE,1998,2020
4318,cardiovascular disease pulmonary disease,DISEASE,2099,2139
4319,active cancer hematologic malignancy,DISEASE,2199,2235
4320,hivaids autoimmune disease,DISEASE,2271,2297
4322,congestive heart failure coronary artery disease arrhythmia,DISEASE,2370,2429
4324,asthma copd chronic lung disease,DISEASE,2479,2511
4326,cardiovascular disease pulmonary disease liver disease kidney disease,DISEASE,3398,3467
4327,stroke hypertension diabetes,DISEASE,3476,3504
4336,coronary vascular disease congestive heart failure,DISEASE,5560,5610
4337,asthma copd,DISEASE,5665,5676
4346,ageusia loss taste dysgeusia,DISEASE,7815,7843
4352,diabetes hypertension obesity,DISEASE,9967,9996
4353,covid recognize small overall sample size respectively supplementary table s s online previous study yielded,DISEASE,10266,10374
4362,copd loss,DISEASE,12343,12352
4367,acute respiratory syndrome coronavirus sarscov cause coronavirus disease,DISEASE,7,79
4371,organ failure acute cardiac liver kidney injury,DISEASE,458,505
4396,type diabetes mellitus,DISEASE,4653,4675
4411,muscle bone organ liver intestine kidney skin lung brain heart pancreas contain significant concentration role human body extensive reproduction immune function wound repair microcellular level macrophage neutrophil natural killer cell complement activity notably major risk group covid elderly men woman,DISEASE,5857,6161
4426,multiorgan failure,DISEASE,6775,6793
4447,copper meat shellfish seed legume nut grain,DISEASE,8325,8368
4462,prostate cancer,DISEASE,53,68
4467,postoperative urinary incontinence,DISEASE,336,370
4468,sideeffect,DISEASE,461,471
4469,urinary incontinence,DISEASE,518,538
4475,highvolume prostate cancer,DISEASE,1984,2010
4476,involuntary loss urine performing predefined physical activity h padtest performed h removal transurethral catheter previously described urine loss g g g g defined continent mild incontinent moderate incontinent severe incontinent respectively early continence defined use safetypad,DISEASE,2329,2611
4481,g urine loss,DISEASE,5991,6003
4482,continence urine loss g g g,DISEASE,6291,6318
4487,incontinence,DISEASE,7851,7863
4489,postoperative incontinence urine loss,DISEASE,8009,8046
4491,weight urine loss,DISEASE,8760,8777
4498,malfunction external sphincter preexisting injury urethral sphincter rp functionallength urethral sphincter preservation,DISEASE,9871,9991
4500,injury sphincter consequence padtest result profoundly correlate early continence rate taken measurement tool,DISEASE,10113,10222
4502,urinary loss,DISEASE,10335,10347
4505,urinary incontinence padtest catheter removal identify men higher need intensified postoperative pelvic floor training,DISEASE,11920,12038
4507,covid patient coronavirus disease,DISEASE,756,789
4508,acute respiratory syndrome coronavirus sarscov affect multiple cell type systemic effect outside respiratory tract,DISEASE,810,924
4511,hypercoagulability,DISEASE,1053,1071
4515,endothelial damage,DISEASE,1413,1431
4517,venous thromboembolism atrial fibrillation,DISEASE,1593,1635
4521,diabetes mellitus copd chronic obstructive pulmonary disease,DISEASE,2025,2085
4522,chronic kidney disease,DISEASE,2090,2112
4530,intravascular coagulopathy,DISEASE,3473,3499
4531,ipac decrease,DISEASE,4063,4076
4544,active gastrointestinal bleeding,DISEASE,6827,6859
4552,hematological comorbidities coronary artery disease heart failure,DISEASE,8577,8642
4554,heart valve replacement cardiac pacemaker automatic implantable cardioverter device left,DISEASE,8674,8762
4555,pulmonary arterial hypertension,DISEASE,8789,8820
4556,atrial fibrillation supraventricular tachycardia cerebrovascular disease lupus anticoagulant vte dic,DISEASE,8821,8921
4559,admission death,DISEASE,9254,9269
4578,comor,DISEASE,13684,13689
4579,admission inten sive care unit patient anticoagulation,DISEASE,14253,14307
4580,adverse bleeding,DISEASE,15534,15550
4586,critically ill covid patient difference outcome patient randomized therapeutic anticoagulation,DISEASE,16857,16951
4587,veteran nonvalvular atrial fibrillation,DISEASE,17388,17427
4599,macrovascular thrombosis,DISEASE,18678,18702
4600,pulmonary embolism thrombotic stroke,DISEASE,18723,18759
4604,distancing infected viral load,DISEASE,19442,19472
4605,diabetic,DISEASE,19618,19626
4614,htrs,DISEASE,22243,22247
4615,olfactory dysfunction,DISEASE,65,86
4616,rhinosinusitis,DISEASE,98,112
4618,idiopathic od coronavirus covid pandemic number,DISEASE,129,176
4619,smell loss common symptom infected following sarscov infection,DISEASE,211,273
4621,smell loss,DISEASE,667,677
4624,smell disorder,DISEASE,1654,1668
4625,smell impairment,DISEASE,1776,1792
4626,abscent,DISEASE,2361,2368
4630,parosmia,DISEASE,2731,2739
4634,phantosmia,DISEASE,4154,4164
4642,anosmia ageusia,DISEASE,6416,6431
4644,perception odour phantosmia perception odour absence stimulus situation,DISEASE,6690,6761
4654,anxiety depressive disorder,DISEASE,494,521
4661,depressive,DISEASE,1374,1384
4662,endstage renal disease,DISEASE,1574,1596
4663,covid outbreak pandemic,DISEASE,2311,2334
4664,chronic kidney disease coronavirus disease,DISEASE,3307,3349
4665,pandemic mental health quality life versus level education high versus low egfr charlson comorbidity,DISEASE,3356,3456
4666,coronavirus kidney disease,DISEASE,4012,4038
4667,stress coronavirus kidney disease,DISEASE,4050,4083
4671,psychological somatic anxiety,DISEASE,4455,4484
4672,hads,DISEASE,4582,4586
4673,anxiety depressive,DISEASE,4696,4714
4674,depressed hopeless,DISEASE,4802,4820
4675,depressed mood anhedonia,DISEASE,4885,4909
4680,status frailty comorbidity egfr kidney replacement,DISEASE,6568,6618
4683,covid kidney disease,DISEASE,7975,7995
4687,anxiety anxiety,DISEASE,8405,8420
4696,diabetes cancer,DISEASE,9793,9808
4698,covid anxiety,DISEASE,9966,9979
4702,depressive feeling sample reported feel covid pandemic,DISEASE,10312,10366
4710,persistence mental distress,DISEASE,11737,11764
4712,involuntary loss,DISEASE,12039,12055
4719,adverse outcome urgency awareness mental health problem supporting patient need,DISEASE,13474,13553
4728,rightsided blindness right homonymous hemianopia,DISEASE,18,66
4730,sinus hemorrhagic venous infarction,DISEASE,170,205
4735,covid sarscov corona virus cerebral venous sinus thrombosis,DISEASE,594,653
4736,thrombocytopenic purpura,DISEASE,661,685
4737,intracranial complication,DISEASE,686,711
4739,immune thrombocytopenic purpura,DISEASE,759,790
4743,virusinduced angiitis,DISEASE,1082,1103
4761,respiratory syndrome coronavirus sarscov additionally itp infrequent complication,DISEASE,2073,2154
4767,blindness,DISEASE,2548,2557
4774,dysarthric speech right homonymous hemianopia alexia agraphia,DISEASE,2975,3036
4775,petechia purpura,DISEASE,3121,3137
4776,intraparenchymal hemorrhage,DISEASE,3178,3205
4778,thrombus stagnation,DISEASE,3285,3304
4779,left transverse sinus vascular imaging venous sinus thrombosis,DISEASE,3305,3367
4780,diabetic drug regimen current admission,DISEASE,3568,3607
4782,covid rtpcr hepatitis c virus hcv hepatitis b virus hbv human immunodeficiency virus hiv antibody,DISEASE,3727,3824
4787,homonymous hemianopia,DISEASE,4414,4435
4789,sinus thrombosis,DISEASE,4546,4562
4790,hemorrhagic venous infarction,DISEASE,4572,4601
4792,covid constitutes cerebrovascular incident context,DISEASE,4816,4866
4800,covid including hemophagocytic lymphohistiocytosis,DISEASE,5346,5396
4806,thrombocytopenia heparin,DISEASE,5786,5810
4810,jugular vein thrombosis,DISEASE,6304,6327
4814,liver damage,DISEASE,6649,6661
4815,thrombopoietin,DISEASE,6680,6694
4816,pulmonary endothelial damage,DISEASE,6706,6734
4817,platelet aggregation,DISEASE,6744,6764
4819,multilobar,DISEASE,6892,6902
4828,mucormycosis disease,DISEASE,162,182
4830,covid diabetic,DISEASE,336,350
4831,cerebral pulmonary cutaneous gastrointestinal frequent disseminated,DISEASE,500,567
4832,mucormycosis,DISEASE,573,585
4833,necrosis infarction,DISEASE,633,652
4839,presenting complaint,DISEASE,1731,1751
4840,pain swelling toothache,DISEASE,1759,1782
4841,nasal blockage breathlessness fever lethargy ptosis ophthalmoplegia sudden loss vision black eschar palatelidconjunctivacornea,DISEASE,1783,1909
4846,weight stage mgkg stage,DISEASE,2799,2822
4854,keratopathy,DISEASE,3992,4003
4858,diabetic duration common initial symptom periocular facial swelling periocular facial pain headache blurred vision cheek hypoesthesia nasal blockage,DISEASE,4667,4815
4859,ptosis ophthalmoplegia lethargy,DISEASE,4821,4852
4860,toothache,DISEASE,4869,4878
4861,cerebral cutaneous pulmonary case orbital involvement bilateral ophthalmoplegia,DISEASE,4931,5010
4862,edema exudative,DISEASE,5105,5120
4863,vitreous hemorrahage diabetic retinopathy,DISEASE,5124,5165
4864,retinal artery occlusion optic atrophy,DISEASE,5174,5212
4865,cortical blindness,DISEASE,5213,5231
4866,palsy,DISEASE,5239,5244
4868,tramb,DISEASE,5390,5395
4869,movement improved visual acuity visual acuity ocular movement patient patient stable deterioration patient underwent orbital exenteration,DISEASE,5446,5583
4872,hbac p mucormycosis,DISEASE,5781,5800
4874,diabetes mellitus ketoacidosis,DISEASE,5974,6004
4875,metabolic acidosis,DISEASE,6010,6028
4876,neutropenia trauma burn malignant f e hematologic disorder,DISEASE,6088,6146
4879,hospitalacquired infection,DISEASE,6307,6333
4886,maxillary ethmoid sinus,DISEASE,6619,6642
4887,papyraceous,DISEASE,6704,6715
4888,artery vein hole orbital wall ocular,DISEASE,6722,6758
4889,pain chemosis vision loss ophthalmoplegia proptosis ophthalmoplegia,DISEASE,6775,6842
4890,inflammation muscle orbital space fourth sixth cranial nerve,DISEASE,6850,6910
4893,ptosis chemosis multiple cranial nerve palsy papilledema headache nuchal rigidity,DISEASE,7081,7162
4894,apex syndrome syndrome,DISEASE,7206,7228
4895,optic nerve dysfunction,DISEASE,7304,7327
4902,comorbid illness,DISEASE,8057,8073
4903,chronic kidney disease cardiovascular disease,DISEASE,8084,8129
4905,pulmonary cutaneous mucormycosis,DISEASE,8195,8227
4908,cerebral extension mucormycosis,DISEASE,8366,8397
4911,cutaneous gastrointestinal pulmonary mucormycosis,DISEASE,8681,8730
4912,diabetes mellitus diabetic ketoacidosis,DISEASE,8799,8838
4913,renal disease,DISEASE,8847,8860
4916,burn hiv,DISEASE,8977,8985
4918,cerebral mucormycosis,DISEASE,9199,9220
4922,ocular compartment syndrome,DISEASE,9507,9534
4923,acute orbital compartment syndrome,DISEASE,9598,9632
4924,compartment syndrome,DISEASE,9775,9795
4928,covid mucormycosis,DISEASE,10289,10307
4931,covid rhinoorbital mucormycosis mehta mekonnen werthmanehrenreich documented single case report concurrent covid infection,DISEASE,10443,10565
4942,covid comorbidity,DISEASE,3434,3451
4945,hypertension htn diabetes mellitus,DISEASE,3581,3615
4946,coronary artery disease,DISEASE,3619,3642
4947,chronic obstructive pulmonary disease copd chronic kidney disease,DISEASE,3647,3712
4948,htn diabetes,DISEASE,3777,3789
4951,myocardial infarction atherosclerotic heart disease,DISEASE,5234,5285
4952,coronary artery certain case medication specifically associated disease medication code identify disease cluster example patient,DISEASE,5293,5421
4954,hypothyroidism,DISEASE,5461,5475
4955,htn,DISEASE,5602,5605
4961,heart failure abdominal aortic aneurysm htn aortic valve disease,DISEASE,6612,6676
4965,interstitial pulmonary disease,DISEASE,8326,8356
4967,cardiomegaly hypertensive urgency emergency,DISEASE,8462,8505
4968,heart failure cardiomegaly atrial fibrillation flutter,DISEASE,8506,8560
4969,cerebrovascular accident,DISEASE,8649,8673
4971,prostatic hypertrophy gout,DISEASE,8707,8733
4972,diabetes complication,DISEASE,9217,9238
4973,gastrointestinal bleed,DISEASE,9243,9265
4974,breast cancer,DISEASE,9270,9283
4975,valve disorder,DISEASE,9298,9312
4976,atrial fibrillation atrial flutter,DISEASE,9362,9396
4980,copd iqr pulmonary embolism,DISEASE,9573,9600
4982,cardiac vascular system including,DISEASE,9714,9747
4983,cardiomegaly heart failure,DISEASE,9756,9782
4984,atrial fibrillation hypertensive urgency emergency unique feature age group included,DISEASE,9783,9867
4993,hyperlipidemia,DISEASE,12294,12308
5003,htn hyperlipidemia,DISEASE,13592,13610
5011,heart failure disease,DISEASE,14358,14379
5012,respiratory renal endocrine cardiovascular system respectively finding suggest simply adding commonly identified risk factor,DISEASE,14391,14515
5017,pneumonia copd lung cancer,DISEASE,15154,15180
5020,chronic disease affecting lung unlike study began limited set,DISEASE,15464,15525
5028,cluster hypertensive,DISEASE,21281,21301
5032,coronavirus social distancing policy strongly imposed country significantly contributed containing spread virus particular interruption school sport recreational activity possible protect child adolescent exposure virus,DISEASE,183,402
5037,heart failure cardiac arrhythmia sudden death,DISEASE,1126,1171
5041,cough cold fever,DISEASE,2202,2218
5047,desaturation,DISEASE,4359,4371
5055,hypertension infection,DISEASE,5942,5964
5056,systolic diastolic dysfunction,DISEASE,6071,6101
5059,cardiovascular complication,DISEASE,6401,6428
5062,lung heart kidney vascular intestinal area essential underestimate theoretical complication,DISEASE,6758,6849
5067,cardiorespiratory complication,DISEASE,8029,8059
5071,multisystem inflammatory syndrome,DISEASE,38,71
5073,cardiac illness rash nonpurulent conjunctivitis,DISEASE,132,179
5076,acute respiratory syndrome coronavirus sarscov test ongoing sarscov pandemic case multisystem inflammatory syndrome,DISEASE,333,448
5077,coronavirus disease infection,DISEASE,718,747
5078,dysfunction extrapulmonary organ system elevated inflammatory marker eg ferritin creactive protein crp ddimer interleukin il absence severe,DISEASE,765,904
5085,upper extremity face,DISEASE,1411,1431
5087,muscle ache sick contact,DISEASE,1513,1537
5089,covid vaccine,DISEASE,1592,1605
5091,sinus tachycardia,DISEASE,1660,1677
5092,conjunctival,DISEASE,1772,1784
5095,chest abdominal exam unremarkable initial lab result significant mild,DISEASE,1865,1934
5096,leukocytosis viraltickborne illness,DISEASE,1935,1970
5097,viral panel mononucleosis hiv syphilis hepatitis panel cytomegalovirus,DISEASE,2265,2335
5099,nile virus,DISEASE,2370,2380
5104,clostridioides difficile c difficile stool,DISEASE,2789,2831
5111,abdominal pain nausea diarrhea,DISEASE,3173,3203
5112,viral gastroenteritis,DISEASE,3276,3297
5116,lethargy,DISEASE,3533,3541
5118,abdominal tenderness,DISEASE,3627,3647
5119,bandemia,DISEASE,3695,3703
5121,chest negative pulmonary embolism,DISEASE,4113,4146
5129,decreased left ventricular ejection,DISEASE,4651,4686
5130,ventricular dilation,DISEASE,4701,4721
5137,nasal congestion headache fatigue,DISEASE,5171,5204
5139,palpitation,DISEASE,5385,5396
5144,pneumococcal urine antigen urine blood culture,DISEASE,6034,6080
5146,upper respiratory tract,DISEASE,6185,6208
5148,ideation,DISEASE,6324,6332
5151,acute febrile illness,DISEASE,6621,6642
5154,throat,DISEASE,6845,6851
5155,loose bowel movement elevated crp peak mgl mgl covid igg positive patient conservatively managed,DISEASE,6861,6957
5156,diaphoresis,DISEASE,7059,7070
5160,chest xray gi gastrointestinal ivig intravenous immunoglobulin pe pulmonary embolism,DISEASE,7423,7507
5164,cardiac dysfunction abdominal pain mucocutaneous,DISEASE,7759,7807
5165,infection small community,DISEASE,8159,8184
5169,flulike illness shock,DISEASE,8559,8580
5170,vasopressor fever,DISEASE,8591,8608
5174,dengue virus,DISEASE,9298,9310
5175,hypercoagulability organ damage,DISEASE,9884,9915
5180,acute respiratory syndrome coronavirus sarscov virus responsible,DISEASE,133,197
5184,multisystem organ failure,DISEASE,312,337
5187,abnormal liver enzyme admission develop,DISEASE,557,596
5188,abnormal liver enzyme course hospitalization abnormality,DISEASE,597,653
5189,injury ali acute liver failure,DISEASE,856,886
5190,abnormal liver enzyme reflection systemic inflammatory syndrome andor,DISEASE,950,1019
5192,liver enzyme abnormality,DISEASE,1056,1080
5196,laboratory abnormality,DISEASE,2738,2760
5198,liver injury,DISEASE,3315,3327
5199,cholestatic,DISEASE,3366,3377
5201,acute liver failure,DISEASE,3467,3486
5203,abnormal liver enzyme liver injury,DISEASE,3918,3952
5213,cholestatic hepatocellular,DISEASE,6284,6310
5214,liver injury hepatocellular cholestatic,DISEASE,6322,6361
5218,blood cell cardiovascular disease,DISEASE,6565,6598
5219,coronary artery disease heart failure stroke peripheral vascular disease,DISEASE,6619,6691
5222,hypertension liver disease,DISEASE,6785,6811
5223,autoimmune hepatitis hemochromatosis cardiac cirrhosis frequency liver test abnormality liver injury,DISEASE,6821,6921
5226,leukocytosis,DISEASE,7191,7203
5228,leukocytosis anemia thrombocytopenia acute kidney injury,DISEASE,7295,7351
5232,cancer dementia,DISEASE,8618,8633
5234,acute kidney injury ali acute liver injury,DISEASE,9449,9491
5238,ali hepatic encephalopathy,DISEASE,10042,10068
5240,shock liver druginduced liver injury,DISEASE,10273,10309
5246,abnormal liver enzyme patient covid crucial highlight abbreviationsali acute liver injury,DISEASE,11453,11542
5249,hypertension diabetes mellitus cardiovascular disease,DISEASE,11782,11835
5250,lung disease endstage,DISEASE,11844,11865
5251,liver disease cancer dementia connective tissue disease hiv infection,DISEASE,11866,11935
5255,viral hepatitis cholestatic disease,DISEASE,12289,12324
5259,greater hepatocellular injury,DISEASE,12481,12510
5260,cholestasis,DISEASE,12511,12522
5262,andor multisystem organ failure shock,DISEASE,12708,12745
5263,systemic disease,DISEASE,12974,12990
5264,primary acute viral hepatitis,DISEASE,13010,13039
5265,liver enzyme liver injury,DISEASE,13303,13328
5267,viral hepatitis cholestatic liver disease,DISEASE,13355,13396
5269,abnormal liver enzyme primary liver enzyme measurement recorded admission peak value hospitalization temporal trend liver enzyme relation medication clinical status critical event determined utilized multiple approach,DISEASE,14029,14246
5271,covid example demonstration new liver,DISEASE,14602,14639
5272,abnormal liver test frequently identified patient hospitalized,DISEASE,14724,14786
5273,covid majority abnormality,DISEASE,14787,14813
5275,sepsis multiorgan failure,DISEASE,14961,14986
5277,liver sarscov viral hepatitis,DISEASE,15019,15048
5278,acute respiratory syndrome coronavirus sarscov covid pandemic,DISEASE,41,102
5294,viral illness small,DISEASE,2065,2084
5295,respiratory failure death,DISEASE,2155,2180
5310,admission illness,DISEASE,5511,5528
5312,andor respiratory failure,DISEASE,5615,5640
5331,shock death,DISEASE,8624,8635
5336,covid adjustment illness,DISEASE,9386,9410
5351,lower critically ill,DISEASE,12904,12924
5354,immunemediated inflammatory disease inflammatory bowel disease,DISEASE,337,399
5359,covid vaccine success vaccination,DISEASE,1375,1408
5367,asthma diabetes arthritis,DISEASE,4168,4193
5373,covid vaccine vaccine hesitancy found directly related emphasizes importance providing,DISEASE,6663,6749
5379,covid vaccine fear worsening underlying disease concern,DISEASE,10214,10269
5380,covid vaccine adverse effect main reason hesitant receive reason,DISEASE,10270,10334
5381,covid vaccine hesitancy included belief covid vaccine,DISEASE,10335,10388
5383,covid misinformation,DISEASE,10635,10655
5384,covid vaccine concern determine,DISEASE,10792,10823
